pitch_rad,roll_rad,motor_a_rad,motor_b_rad
0.000,0.000,0.000,0.000
0.000,0.087,0.054,0.054
0.000,-0.087,-0.054,-0.054
0.000,0.262,0.161,0.161
0.000,-0.262,-0.161,-0.161
0.087,0.000,0.087,-0.087
0.087,0.087,0.141,-0.033
0.087,-0.087,0.033,-0.141
0.087,0.262,0.249,0.073
0.087,-0.262,-0.073,-0.249
-0.087,0.000,-0.087,0.087
-0.087,0.087,-0.033,0.141
-0.087,-0.087,-0.141,0.033
-0.087,0.262,0.072,0.249
-0.087,-0.262,-0.249,-0.072
0.262,0.000,0.262,-0.262
0.262,0.087,0.316,-0.208
0.262,-0.087,0.208,-0.316
0.262,0.262,0.426,-0.104
0.262,-0.262,0.104,-0.426
-0.262,0.000,-0.262,0.262
-0.262,0.087,-0.208,0.316
-0.262,-0.087,-0.316,0.208
-0.262,0.262,-0.104,0.426
-0.262,-0.262,-0.426,0.104
