pitch_rad,roll_rad,motor_a_rad,motor_b_rad
-0.000000,0.000,0.000,0.000
-0.000000,0.087,-0.085,-0.089
-0.000000,-0.087,0.089,0.086
-0.000000,0.262,-0.245,-0.277
-0.000000,-0.262,0.278,0.247
-0.087000,0.000,0.113,-0.113
-0.087000,0.087,0.028,-0.203
-0.087000,-0.087,0.203,-0.028
-0.087000,0.262,-0.130,-0.394
-0.087000,-0.262,0.396,0.132
0.087000,0.000,-0.110,0.110
0.087000,0.087,-0.196,0.021
0.087000,-0.087,-0.021,0.196
0.087000,0.262,-0.359,-0.165
0.087000,-0.262,0.165,0.360
-0.262000,0.000,0.354,-0.353
-0.262000,0.087,0.267,-0.445
-0.262000,-0.087,0.446,-0.266
-0.262000,0.262,0.110,-0.646
-0.262000,-0.262,0.652,-0.108
0.262000,0.000,-0.321,0.323
0.262000,0.087,-0.410,0.233
0.262000,-0.087,-0.231,0.412
0.262000,0.262,-0.583,0.049
0.262000,-0.262,-0.048,0.587
